"1","2024-09-26","drop","alert","drop-packet","block-ip","block-url","205845","129965","26934","5965","1807"
"2","2024-09-27","drop","alert","drop-packet","block-ip","allow","322636","245703","44627","11113","2841"
"3","2024-09-28","drop","alert","drop-packet","block-ip","block-url","331855","197898","40747","10831","5819"
"4","2024-09-29","drop","alert","drop-packet","block-ip","block-url","401557","179864","43907","10872","4020"
"5","2024-09-30","drop","alert","drop-packet","block-ip","block-url","416370","253933","46010","10801","5533"
"6","2024-10-01","drop","alert","drop-packet","block-ip","allow","377067","204585","46885","11309","2472"
"7","2024-10-02","drop","alert","drop-packet","block-ip","allow","368008","167662","45678","11304","2688"
"8","2024-10-03","drop","alert","drop-packet","block-ip","block-url","351836","166580","47363","11565","8462"
"9","2024-10-04","drop","alert","drop-packet","block-ip","block-url","54973","25091","7844","1670","1414"
"10","2024-10-05","drop","alert","drop-packet","block-ip","block-url","117323","71380","16118","4726","3967"
"11","2024-10-06","drop","alert","drop-packet","block-ip","block-url","333807","157848","38662","10910","6830"
"12","2024-10-07","drop","alert","drop-packet","block-ip","allow","435577","205209","41869","11351","2562"
"13","2024-10-08","drop","alert","drop-packet","block-ip","allow","320294","223040","44118","10919","3132"
"14","2024-10-09","drop","alert","drop-packet","block-ip","allow","289456","188601","41864","9205","2526"
"15","2024-10-10","drop","alert","drop-packet","block-ip","allow","127843","87868","20980","4851","909"
"16","2024-10-11","drop","alert","drop-packet","block-ip","block-url","330475","208014","49495","10889","2240"
"17","2024-10-12","drop","alert","drop-packet","block-ip","block-url","264209","175982","44733","10617","2295"
"18","2024-10-13","drop","alert","drop-packet","block-ip","block-url","267149","164411","43683","11092","2023"
"19","2024-10-14","drop","alert","drop-packet","block-ip","block-url","339324","198468","44826","10825","4933"
"20","2024-10-15","drop","alert","drop-packet","block-ip","block-url","291815","209189","45240","11083","2627"
"21","2024-10-16","drop","alert","drop-packet","block-ip","block-url","297560","203604","52462","10797","3369"
"22","2024-10-17","drop","alert","drop-packet","block-ip","block-url","286635","206097","51879","11629","6207"
